community_id,name,title,description,rules,creator_id,moderators,members_count,is_private,created_at
C001,explain1,Explain1 Community,Imagine affect increase candidate environment out wish.,No spam; Be respectful; No hate,U02767,U01604,14993,True,2025-07-05
C002,friend2,Friend2 Community,Determine adult foot as explain Republican step onto.,No spam; Be respectful; No hate,U02162,"U00608,U01455",12926,False,2024-12-25
C003,prove3,Prove3 Community,Forget home upon actually future get know left sea decision recently pull eight allow system whose.,No spam; Be respectful; No hate,U01766,U00424,5303,False,2025-03-07
C004,program4,Program4 Community,No generation debate world hard factor firm purpose ahead person coach goal it yet.,No spam; Be respectful; No hate,U01195,"U00657,U00841,U00852",1053,False,2025-02-25
C005,agency5,Agency5 Community,News make doctor TV capital parent sure best design yeah number.,No spam; Be respectful; No hate,U00176,"U01630,U01021",1100,False,2025-01-29
C006,could6,Could6 Community,Short worker without nearly goal design too everything side.,No spam; Be respectful; No hate,U02865,U02368,5493,False,2025-05-10
C007,professor7,Professor7 Community,Professional rather plan player maybe mouth different identify.,No spam; Be respectful; No hate,U02289,U02095,15330,False,2025-10-13
C008,something8,Something8 Community,Experience under church them hundred about stop several prevent raise better oil individual industry.,No spam; Be respectful; No hate,U00702,U00162,15506,False,2025-02-09
C009,current9,Current9 Community,Peace catch people your outside rule watch.,No spam; Be respectful; No hate,U02150,U00341,5678,False,2024-06-27
C010,garden10,Garden10 Community,Economic notice line before have sea third pressure need tell sure claim hard themselves compare view.,No spam; Be respectful; No hate,U02934,"U01447,U01191",17900,False,2024-05-22
C011,will11,Will11 Community,Follow fall thus debate leave each owner wrong someone win.,No spam; Be respectful; No hate,U00011,"U00548,U00027",2148,False,2025-10-18
C012,month12,Month12 Community,Sound study the training each reveal attorney security.,No spam; Be respectful; No hate,U00093,"U01209,U00565,U02232",15449,False,2025-06-07
C013,rest13,Rest13 Community,Term yet television audience indicate employee respond building since positive move agency lose.,No spam; Be respectful; No hate,U00285,"U02793,U02935",5298,False,2025-06-26
C014,she14,She14 Community,Fall huge state shoulder guy respond memory power.,No spam; Be respectful; No hate,U01761,U02578,13011,False,2024-05-01
C015,later15,Later15 Community,Billion suggest serious often social reveal hand prevent center.,No spam; Be respectful; No hate,U02559,"U02993,U01341,U01448",10929,False,2025-07-04
C016,eight16,Eight16 Community,Decide best politics available tonight man each employee far know skin record nothing organization.,No spam; Be respectful; No hate,U00080,U01489,2696,True,2024-03-30
C017,sort17,Sort17 Community,Challenge eye determine he guy fact war citizen plant.,No spam; Be respectful; No hate,U02534,"U02821,U02203",8436,False,2024-04-10
C018,may18,May18 Community,Pull child source campaign parent teacher either direction surface on chance activity hair.,No spam; Be respectful; No hate,U01759,U00852,1611,True,2024-11-20
C019,movie19,Movie19 Community,Image peace color general choose system fire hear tend magazine college moment compare today add.,No spam; Be respectful; No hate,U00044,"U00552,U00529",7934,False,2024-04-29
C020,your20,Your20 Community,Garden finally difference everything sing smile practice ground.,No spam; Be respectful; No hate,U02680,"U00946,U00012,U02890",6289,False,2025-06-14
C021,machine21,Machine21 Community,Tree trade style suffer situation model direction dark professional huge better forget attack network movement.,No spam; Be respectful; No hate,U00584,"U01125,U00809,U01872",10892,False,2025-03-22
C022,site22,Site22 Community,Their wife argue note easy eight school ready practice each ready lay American participant necessary.,No spam; Be respectful; No hate,U00470,"U02348,U00580",18408,True,2025-04-15
C023,benefit23,Benefit23 Community,Safe true town car few debate during seven local better.,No spam; Be respectful; No hate,U00459,"U02906,U01624",7295,False,2025-10-14
C024,upon24,Upon24 Community,Five plant cultural bring bar culture my.,No spam; Be respectful; No hate,U01747,"U01580,U02287,U01931",10062,True,2024-06-09
C025,dinner25,Dinner25 Community,Maintain notice ok technology born though since crime south pass lead a senior over manage computer.,No spam; Be respectful; No hate,U00006,"U01532,U01141",8331,False,2024-01-15
C026,movement26,Movement26 Community,Method week federal test eat every night final key with watch maintain five window.,No spam; Be respectful; No hate,U01596,U01786,12861,False,2024-12-26
C027,many27,Many27 Community,Clear assume it fight understand kitchen point Mrs consumer single several degree maybe floor.,No spam; Be respectful; No hate,U00018,U02809,17960,False,2025-09-04
C028,nice28,Nice28 Community,Bill feel participant number choice choose short skill system particular church what wonder president.,No spam; Be respectful; No hate,U01357,"U00113,U00409,U01349",3162,False,2024-08-20
C029,story29,Story29 Community,Sister especially usually line task field certain free government seat last interesting hour.,No spam; Be respectful; No hate,U00585,"U01692,U02840,U00697",16949,True,2024-04-10
C030,key30,Key30 Community,Several identify why government south window short.,No spam; Be respectful; No hate,U01212,U00488,11802,True,2025-09-27
C031,after31,After31 Community,Decade respond far health focus so for nice current Democrat.,No spam; Be respectful; No hate,U00075,"U02498,U01671,U02521",18830,False,2024-11-18
C032,most32,Most32 Community,Task blood during for look return like wife animal process reach training main.,No spam; Be respectful; No hate,U00405,"U02945,U00800,U00501",10860,False,2025-07-04
C033,far33,Far33 Community,Only arrive argue garden Mrs just exist line thing available with run station them operation off.,No spam; Be respectful; No hate,U01358,"U00655,U02860",8063,False,2024-04-13
C034,or34,Or34 Community,Just foreign national produce news stage ready cell.,No spam; Be respectful; No hate,U02707,"U00197,U01329,U02062",18014,False,2024-12-20
C035,speech35,Speech35 Community,That recognize school whatever guess significant section Democrat.,No spam; Be respectful; No hate,U02654,"U02605,U01246",7750,False,2024-07-29
C036,full36,Full36 Community,Direction gun current will else page usually cell politics interview south something story art.,No spam; Be respectful; No hate,U00235,"U02921,U01254,U02036",13307,False,2024-09-20
C037,music37,Music37 Community,Administration join allow mean sometimes so man offer plant same north wind.,No spam; Be respectful; No hate,U02771,U02441,11981,True,2024-03-23
C038,statement38,Statement38 Community,Mother sometimes suffer because two particular year sell.,No spam; Be respectful; No hate,U00357,U01351,5265,False,2024-09-05
C039,speak39,Speak39 Community,Stand letter threat yes charge form consider offer law sit science way threat.,No spam; Be respectful; No hate,U02075,"U01784,U00744,U01897",14642,False,2025-03-04
C040,interest40,Interest40 Community,Family perhaps hope across follow character talk once should mother president customer start understand throw.,No spam; Be respectful; No hate,U02205,U01647,1373,False,2024-12-11
C041,senior41,Senior41 Community,Check significant deal consider ago own suddenly single music west force firm discover decade field.,No spam; Be respectful; No hate,U01132,"U02407,U00077,U00975",701,False,2024-10-05
C042,language42,Language42 Community,Do turn sign agree there want but way agent test take.,No spam; Be respectful; No hate,U02186,"U00029,U02895,U02429",15480,False,2025-02-26
C043,detail43,Detail43 Community,Any just cup side opportunity by wide medical official might clear decide.,No spam; Be respectful; No hate,U01769,U01268,4350,False,2024-06-20
C044,yeah44,Yeah44 Community,Scientist group yet indeed decision before medical long meet war administration herself information which.,No spam; Be respectful; No hate,U01508,"U01346,U02835,U01209",11992,False,2024-05-20
C045,black45,Black45 Community,Growth finally assume watch present director red practice special then administration who.,No spam; Be respectful; No hate,U00186,"U01445,U02309",13378,False,2024-12-11
C046,show46,Show46 Community,Animal suggest concern act million cell like although other decide science fall.,No spam; Be respectful; No hate,U02032,"U02488,U00362,U00439",6222,False,2025-04-05
C047,prepare47,Prepare47 Community,Statement information company million character speak protect half understand skill air daughter idea.,No spam; Be respectful; No hate,U02246,U00076,10058,False,2024-12-29
C048,hour48,Hour48 Community,Perform agreement ago agreement like same certain imagine much several reveal.,No spam; Be respectful; No hate,U01687,U01812,8245,False,2025-06-14
C049,condition49,Condition49 Community,Beyond give development information at why less indeed together.,No spam; Be respectful; No hate,U00427,U01594,68,False,2025-10-21
C050,less50,Less50 Community,Tax speak a live tonight either follow music whatever.,No spam; Be respectful; No hate,U01461,"U02337,U01904,U00160",3622,False,2025-05-27
C051,relate51,Relate51 Community,Local see system cultural despite candidate walk difficult.,No spam; Be respectful; No hate,U00688,U00477,6770,False,2025-07-04
C052,beautiful52,Beautiful52 Community,Response executive past economic economy role feeling report.,No spam; Be respectful; No hate,U02137,"U01540,U00249,U00032",16893,False,2024-12-22
C053,maintain53,Maintain53 Community,Mind officer third service capital instead product often various alone town his answer cup consider central.,No spam; Be respectful; No hate,U01773,"U00289,U00533,U02751",16682,False,2025-02-04
C054,along54,Along54 Community,Class follow occur low gas pick stage officer later Democrat.,No spam; Be respectful; No hate,U02404,"U02956,U00931,U00029",16297,False,2024-03-23
C055,pretty55,Pretty55 Community,National brother evidence shoulder under front throughout effort southern maintain nature.,No spam; Be respectful; No hate,U00479,"U01010,U02993,U02344",19851,False,2025-01-07
C056,record56,Record56 Community,Property garden mind as half politics who call.,No spam; Be respectful; No hate,U02365,"U00519,U01911,U00431",10809,False,2024-02-07
C057,dream57,Dream57 Community,Store build require call girl laugh network vote whom will consumer star those memory.,No spam; Be respectful; No hate,U00903,U02134,15967,False,2025-02-07
C058,change58,Change58 Community,Simply cup seat moment sister none most another mouth much.,No spam; Be respectful; No hate,U02772,"U00597,U02103",12026,False,2025-03-11
C059,rule59,Rule59 Community,Coach city quite play teacher difficult us respond must western interest dark any wide husband.,No spam; Be respectful; No hate,U02519,"U01625,U02100,U02671",3487,False,2025-08-18
C060,in60,In60 Community,Will throw life carry visit a edge new find type party where arrive improve century.,No spam; Be respectful; No hate,U01058,U02357,15366,False,2024-07-07
C061,test61,Test61 Community,Share southern week drug skill position hospital cover strong.,No spam; Be respectful; No hate,U00210,"U02329,U00036,U02643",183,False,2025-01-20
C062,avoid62,Avoid62 Community,White everybody throughout but science want charge kitchen public set.,No spam; Be respectful; No hate,U02406,"U02521,U02386",9788,False,2024-08-30
C063,activity63,Activity63 Community,Minute modern sign out discussion just state must particular.,No spam; Be respectful; No hate,U01895,"U02632,U02702,U01035",10198,False,2025-10-22
C064,class64,Class64 Community,They senior result themselves we American study eight.,No spam; Be respectful; No hate,U00178,"U01651,U02382",5632,False,2024-04-15
C065,produce65,Produce65 Community,International collection report tend maintain fact mission become rule where ten drop sure manager.,No spam; Be respectful; No hate,U01580,"U01407,U01167,U02680",7660,False,2024-12-17
C066,science66,Science66 Community,Instead point tend exactly right every edge meet information student work bar big.,No spam; Be respectful; No hate,U01453,"U00447,U02824,U01602",1065,False,2025-07-23
C067,sure67,Sure67 Community,Drug manager opportunity program billion sit remain night study heart million understand him own.,No spam; Be respectful; No hate,U01062,U01397,19046,False,2025-02-04
C068,performanc68,Performanc68 Community,Offer brother shake guess pull tough instead hour.,No spam; Be respectful; No hate,U00858,"U02113,U01350,U02567",18652,False,2024-12-24
C069,size69,Size69 Community,Girl small system of mission vote spend.,No spam; Be respectful; No hate,U02483,"U02345,U01758,U01491",16639,False,2024-12-15
C070,production70,Production70 Community,Protect agent note agency watch better turn soon rock support effect stand general.,No spam; Be respectful; No hate,U02079,U02753,16331,False,2025-06-01
C071,energy71,Energy71 Community,Land answer leader yard enjoy soldier decide side natural focus husband.,No spam; Be respectful; No hate,U02262,U01550,15678,False,2025-10-01
C072,happen72,Happen72 Community,Suddenly task free pattern science structure dinner stock big.,No spam; Be respectful; No hate,U00894,"U02774,U00160",16067,False,2025-06-22
C073,seven73,Seven73 Community,Police fine market control him enter religious go.,No spam; Be respectful; No hate,U00863,U01814,3256,False,2025-10-14
C074,sure74,Sure74 Community,Time senior where follow born ok training record night series Mrs huge receive.,No spam; Be respectful; No hate,U01909,"U01589,U00385",6384,False,2024-01-20
C075,decide75,Decide75 Community,Bed our theory identify enjoy respond mouth however.,No spam; Be respectful; No hate,U02630,"U00011,U02015,U02081",17567,False,2025-03-29
C076,will76,Will76 Community,Billion what sport thought family now bank yourself kind American nature property event.,No spam; Be respectful; No hate,U00642,U00782,6517,False,2025-01-24
C077,miss77,Miss77 Community,Street work early difficult possible democratic actually during again partner.,No spam; Be respectful; No hate,U01318,"U00056,U00968",6246,False,2025-04-01
C078,this78,This78 Community,Increase necessary nothing include summer ok physical thousand without section religious word sound.,No spam; Be respectful; No hate,U02475,"U00533,U02271",10962,False,2024-02-03
C079,everyone79,Everyone79 Community,Have tonight view floor ground when care team worry east Mrs can wonder.,No spam; Be respectful; No hate,U02983,U00919,2900,False,2024-04-17
C080,still80,Still80 Community,Remain movement bit step direction give reduce with start difference especially student least just.,No spam; Be respectful; No hate,U02800,"U01291,U00802",5247,False,2024-08-31
C081,perhaps81,Perhaps81 Community,Ask yet against large practice time live relationship as great western everybody edge.,No spam; Be respectful; No hate,U02845,"U02912,U01356,U00487",9380,False,2024-05-01
C082,watch82,Watch82 Community,Require make region wall worry Democrat laugh.,No spam; Be respectful; No hate,U01076,"U02827,U00220,U00772",4626,False,2024-07-09
C083,nothing83,Nothing83 Community,Form now then watch certain much race fire according participant Republican.,No spam; Be respectful; No hate,U01098,"U01996,U00307",9618,False,2025-04-20
C084,help84,Help84 Community,Build within pass morning room run eat own serve conference Congress power manager build become watch.,No spam; Be respectful; No hate,U01351,U02397,8013,False,2024-08-31
C085,painting85,Painting85 Community,Source high listen suggest consumer find concern involve edge before employee customer goal.,No spam; Be respectful; No hate,U01508,"U02847,U01850",1423,False,2024-04-25
C086,radio86,Radio86 Community,Fund sell model after paper word arrive health.,No spam; Be respectful; No hate,U00151,U01684,3770,False,2024-02-27
C087,concern87,Concern87 Community,White more above his agree toward nor.,No spam; Be respectful; No hate,U00797,"U01267,U01088",11861,False,2025-09-12
C088,town88,Town88 Community,Western country per consider despite generation the tree.,No spam; Be respectful; No hate,U01926,"U00456,U00656",3581,False,2024-07-12
C089,plan89,Plan89 Community,Off through relationship they concern chance standard air although Mr when wait.,No spam; Be respectful; No hate,U02715,"U00382,U02601,U00605",15700,False,2025-08-10
C090,surface90,Surface90 Community,Various blue raise operation cold between cover choice party front lawyer.,No spam; Be respectful; No hate,U00059,"U01331,U00122",14389,False,2024-03-21
C091,reason91,Reason91 Community,Story six want protect assume east center whether make some among around word lose such.,No spam; Be respectful; No hate,U00631,U00613,17778,False,2025-05-24
C092,receive92,Receive92 Community,Better mind professional fly month offer mother hour national cut fly language cup want international itself.,No spam; Be respectful; No hate,U02909,"U00109,U01494,U01582",9750,False,2025-03-08
