event_id,event_type,user_id,session_id,entity_type,entity_id,props,timestamp
E0000001,comment,U01148,S00138,post,P000711,"{""device"": ""tablet"", ""duration_sec"": 79}",2025-04-07T18:17:40
E0000002,view,U02864,S02962,comment,CM0005057,"{""device"": ""desktop"", ""duration_sec"": 259}",2024-11-13T10:42:52
E0000003,share,U00952,S02859,post,P000103,"{""device"": ""desktop"", ""duration_sec"": 573}",2024-07-18T13:46:55
E0000004,view,U02460,S04996,comment,CM0000971,"{""device"": ""desktop"", ""duration_sec"": 269}",2024-04-02T23:21:36
E0000005,share,U01403,S00697,post,P002219,"{""device"": ""desktop"", ""duration_sec"": 132}",2024-07-03T10:06:11
E0000006,vote,U00634,S00979,post,P002352,"{""device"": ""tablet"", ""duration_sec"": 573}",2025-06-15T12:33:10
E0000007,view,U00559,S00955,comment,CM0001074,"{""device"": ""tablet"", ""duration_sec"": 365}",2024-09-08T08:52:38
E0000008,view,U02890,S01618,post,P000263,"{""device"": ""tablet"", ""duration_sec"": 579}",2024-10-08T14:46:10
E0000009,view,U01582,S04258,post,P003438,"{""device"": ""mobile"", ""duration_sec"": 31}",2025-04-01T18:18:09
E0000010,view,U00916,S02775,post,P003218,"{""device"": ""desktop"", ""duration_sec"": 569}",2024-03-19T17:19:07
E0000011,click,U02473,S03526,post,P000537,"{""device"": ""mobile"", ""duration_sec"": 337}",2025-08-07T01:30:00
E0000012,view,U00734,S04881,comment,CM0000163,"{""device"": ""mobile"", ""duration_sec"": 499}",2025-01-10T03:23:44
E0000013,view,U01856,S03394,community,C160,"{""device"": ""mobile"", ""duration_sec"": 41}",2024-05-23T21:20:10
E0000014,view,U02530,S01115,post,P001375,"{""device"": ""desktop"", ""duration_sec"": 69}",2025-10-01T12:20:36
E0000015,view,U02336,S00036,post,P003387,"{""device"": ""mobile"", ""duration_sec"": 273}",2025-07-30T00:56:54
E0000016,view,U02282,S04082,post,P003821,"{""device"": ""mobile"", ""duration_sec"": 512}",2024-06-11T19:35:34
E0000017,view,U00689,S04887,post,P003185,"{""device"": ""desktop"", ""duration_sec"": 171}",2024-04-02T11:44:14
