vote_id,user_id,target_type,target_id,value,created_at
V0009312,U00443,post,P000500,1,2024-01-01T03:00:56
V0011724,U00951,post,P003080,1,2024-01-01T03:41:04
V0011235,U01203,post,P002861,1,2024-01-01T04:57:29
V0007066,U00350,post,P002523,1,2024-01-01T06:17:13
V0012160,U02558,post,P003341,1,2024-01-01T06:36:59
V0011807,U01665,post,P000289,1,2024-01-01T07:35:14
V0000964,U01016,post,P001342,1,2024-01-01T08:03:16
V0012811,U01016,post,P001897,-1,2024-01-01T09:47:09
V0003933,U00932,post,P003089,1,2024-01-01T10:33:55
V0006939,U02466,post,P002799,1,2024-01-01T13:12:19
V0000190,U01519,comment,CM0004058,1,2024-01-01T14:49:47
V0013467,U01841,post,P002625,1,2024-01-01T15:14:06
V0003251,U00066,post,P000513,1,2024-01-01T16:20:44
V0006609,U01236,comment,CM0006471,1,2024-01-01T17:37:42
V0013936,U01233,post,P001155,1,2024-01-01T17:40:24
V0010108,U01914,post,P000185,1,2024-01-01T19:21:09
V0001472,U02564,post,P001718,1,2024-01-01T19:40:08
V0000448,U02988,post,P000897,1,2024-01-01T21:22:23
V0006124,U00140,post,P003403,1,2024-01-01T22:53:36
V0003083,U02825,comment,CM0004893,1,2024-01-02T00:33:35
V0009136,U00793,comment,CM0006876,1,2024-01-02T01:21:18
V0000350,U00895,post,P002593,-1,2024-01-02T01:27:03
V0005514,U02682,post,P002398,1,2024-01-02T02:38:19
V0014790,U01309,comment,CM0001054,1,2024-01-02T04:13:01
V0001158,U02801,comment,CM0000154,1,2024-01-02T05:29:51
V0007434,U00177,post,P001757,1,2024-01-02T05:36:48
V0008502,U00942,comment,CM0006274,-1,2024-01-02T05:37:33
V0010021,U02314,post,P002882,1,2024-01-02T06:30:58
V0011929,U00291,post,P001162,1,2024-01-02T06:37:42
V0008797,U00018,post,P002446,1,2024-01-02T06:46:04
V0002693,U01620,post,P003268,-1,2024-01-02T07:46:56
V0001862,U01034,post,P003879,1,2024-01-02T07:59:29
V0005821,U00721,comment,CM0003682,1,2024-01-02T12:51:24
V0012707,U02368,post,P003536,1,2024-01-02T12:57:01
V0008381,U01067,comment,CM0001398,1,2024-01-02T15:04:27
V0008248,U02946,post,P001794,1,2024-01-02T18:23:57
V0004988,U02497,comment,CM0005944,1,2024-01-02T20:19:39
V0007860,U00614,post,P002036,1,2024-01-02T20:28:59
V0009824,U01987,comment,CM0003968,1,2024-01-02T21:02:11
V0000049,U01883,post,P003003,1,2024-01-02T21:30:11
V0005689,U01499,post,P001070,1,2024-01-02T22:04:29
V0013553,U01227,post,P001173,1,2024-01-02T22:35:09
V0007753,U02336,comment,CM0006491,1,2024-01-02T22:42:57
V0000713,U00047,post,P000748,1,2024-01-02T23:54:44
V0011412,U01164,post,P000998,1,2024-01-03T00:34:30
V0006803,U00425,post,P000188,1,2024-01-03T01:03:16
V0010284,U01260,comment,CM0000485,1,2024-01-03T03:15:53
V0001260,U01962,post,P002777,1,2024-01-03T06:10:42
V0011703,U01555,post,P000751,1,2024-01-03T06:49:51
V0006632,U00727,post,P002022,1,2024-01-03T07:17:12
V0002348,U02893,post,P001603,1,2024-01-03T08:04:25
V0001279,U02546,post,P003132,1,2024-01-03T08:21:04
V0006806,U00577,comment,CM0004621,-1,2024-01-03T08:41:17
V0008895,U02104,post,P000655,1,2024-01-03T08:56:27
V0010481,U00043,post,P002391,1,2024-01-03T10:00:04
V0007703,U01576,post,P000261,1,2024-01-03T10:12:50
V0005133,U00135,post,P000600,1,2024-01-03T10:38:18
V0003154,U01238,post,P000994,1,2024-01-03T11:43:16
V0012824,U02453,post,P003122,1,2024-01-03T11:54:08
V0012030,U02814,post,P001076,1,2024-01-03T13:59:09
V0003749,U01633,post,P002600,1,2024-01-03T14:21:59
V0009553,U02176,post,P003282,1,2024-01-03T15:24:25
V0010653,U02556,comment,CM0006338,1,2024-01-03T15:35:14
V0009326,U00419,post,P001499,1,2024-01-03T18:13:35
V0000921,U00335,post,P002487,1,2024-01-03T18:37:51
V0007760,U01223,post,P003171,1,2024-01-03T18:43:17
V0000656,U00817,post,P000643,1,2024-01-03T19:01:59
V0001875,U02663,post,P001557,1,2024-01-03T19:17:21
V0008939,U00712,post,P003889,1,2024-01-03T19:58:09
V0014778,U02168,post,P003616,1,2024-01-03T20:14:46
V0012402,U00937,post,P003345,-1,2024-01-03T20:28:34
V0004632,U02614,post,P003702,1,2024-01-03T21:57:42
V0012029,U01259,comment,CM0003478,1,2024-01-03T23:24:58
V0009440,U01106,post,P001031,1,2024-01-03T23:27:43
V0012568,U00751,post,P003018,1,2024-01-04T00:39:14
V0007230,U02128,comment,CM0006927,1,2024-01-04T01:42:27
V0014343,U02209,comment,CM0003501,1,2024-01-04T02:14:57
V0011039,U00513,post,P000570,1,2024-01-04T02:19:10
V0008702,U02261,post,P003588,1,2024-01-04T05:08:30
V0012341,U01576,post,P001316,1,2024-01-04T05:27:18
V0011743,U00533,post,P003154,1,2024-01-04T06:36:05
V0010211,U02343,post,P000394,1,2024-01-04T06:39:28
V0004060,U02025,post,P002272,1,2024-01-04T08:40:24
V0013760,U02671,post,P003784,1,2024-01-04T09:06:47
V0011971,U02788,post,P003823,1,2024-01-04T09:45:11
V0006103,U00262,post,P003333,1,2024-01-04T10:14:04
V0006008,U00549,post,P000536,1,2024-01-04T11:08:37
V0003543,U00884,post,P000715,1,2024-01-04T12:14:49
V0005525,U02940,post,P003552,-1,2024-01-04T13:29:05
V0005140,U02844,post,P002842,1,2024-01-04T14:45:09
V0014407,U00019,post,P003521,1,2024-01-04T16:38:19
V0008185,U01158,comment,CM0001313,1,2024-01-04T16:43:35
V0006370,U02216,post,P003665,1,2024-01-04T17:46:14
V0011804,U01802,post,P002658,1,2024-01-04T18:39:05
V0004996,U01609,post,P001681,1,2024-01-04T19:03:41
V0011829,U00989,post,P000242,1,2024-01-04T19:58:41
V0000094,U02414,post,P002164,1,2024-01-04T20:23:49
V0000976,U00632,post,P001253,1,2024-01-04T21:04:21
V0006929,U01908,post,P000848,1,2024-01-04T21:46:48
V0009319,U00641,post,P002411,1,2024-01-04T22:06:28
V0005186,U00480,post,P003176,1,2024-01-04T22:42:05
V0005849,U00329,post,P001387,1,2024-01-05T01:20:55
V0002159,U01876,post,P000927,1,2024-01-05T01:21:50
V0011016,U00458,comment,CM0001838,-1,2024-01-05T02:02:28
V0012252,U01105,post,P003551,1,2024-01-05T09:02:21
V0009677,U01959,comment,CM0001491,-1,2024-01-05T10:48:38
V0012806,U00024,post,P003071,1,2024-01-05T11:27:12
V0005461,U01695,post,P001723,1,2024-01-05T12:38:53
V0007840,U00578,post,P003730,-1,2024-01-05T13:53:40
V0012890,U01805,post,P002146,1,2024-01-05T13:56:04
V0007766,U00769,post,P002797,1,2024-01-05T14:30:13
V0010497,U01586,post,P002266,-1,2024-01-05T14:46:25
V0012663,U02762,post,P001262,1,2024-01-05T16:13:46
V0009737,U00794,post,P001044,1,2024-01-05T16:35:20
V0014855,U00787,post,P001058,1,2024-01-05T17:17:39
V0008262,U00453,comment,CM0001922,1,2024-01-05T20:06:26
V0010092,U01422,post,P001745,1,2024-01-05T20:19:37
V0001265,U01443,post,P002796,1,2024-01-05T20:25:44
V0005189,U00928,post,P002925,1,2024-01-05T20:44:36
V0001985,U02529,post,P000638,1,2024-01-05T23:22:13
V0009159,U02062,comment,CM0004240,1,2024-01-05T23:22:37
V0012842,U00758,comment,CM0004686,1,2024-01-06T02:37:28
V0002599,U02711,post,P003851,-1,2024-01-06T02:47:52
V0011934,U02458,comment,CM0001909,1,2024-01-06T02:48:19
V0011112,U02479,post,P003853,1,2024-01-06T04:31:57
V0000551,U02625,post,P003163,1,2024-01-06T04:48:00
V0002840,U01079,comment,CM0006009,1,2024-01-06T06:19:23
V0012838,U01779,post,P001278,1,2024-01-06T06:27:40
V0006214,U02131,post,P003240,1,2024-01-06T06:32:28
V0012580,U01071,comment,CM0006049,1,2024-01-06T07:50:25
V0000303,U02153,post,P000330,1,2024-01-06T11:44:41
V0014048,U02558,post,P001802,1,2024-01-06T13:25:32
V0009628,U02852,post,P003532,1,2024-01-06T13:50:38
V0007186,U01435,post,P001283,1,2024-01-06T16:26:58
V0009305,U00517,post,P002992,1,2024-01-06T18:13:45
V0009589,U02393,post,P003071,1,2024-01-06T18:36:03
V0003121,U01513,post,P001986,1,2024-01-07T00:47:03
V0008347,U02171,post,P000366,-1,2024-01-07T01:08:22
V0005585,U00536,comment,CM0002382,1,2024-01-07T02:38:23
V0010090,U02609,post,P003030,1,2024-01-07T03:59:39
V0006783,U02659,comment,CM0001291,-1,2024-01-07T06:10:29
V0006661,U02030,comment,CM0001837,1,2024-01-07T07:27:49
V0011100,U02270,post,P002005,-1,2024-01-07T07:39:41
V0011482,U02017,post,P001983,1,2024-01-07T10:23:55
V0013723,U00680,post,P003390,1,2024-01-07T11:51:55
V0007864,U00602,post,P003211,1,2024-01-07T12:39:28
V0000391,U02740,post,P001309,1,2024-01-07T12:52:20
V0004283,U02025,post,P000825,1,2024-01-07T14:16:04
V0014071,U00428,post,P003198,1,2024-01-07T16:17:10
V0005071,U01818,post,P001347,1,2024-01-07T16:50:44
V0001629,U02786,post,P002530,1,2024-01-07T17:04:14
V0004140,U02556,comment,CM0003397,1,2024-01-07T17:11:06
V0005464,U02776,post,P000372,1,2024-01-07T17:11:11
V0009234,U01241,post,P002227,1,2024-01-07T17:45:57
V0005466,U01209,post,P002132,1,2024-01-07T18:31:10
V0008837,U01453,post,P000316,1,2024-01-07T19:43:13
V0012290,U02369,comment,CM0003355,1,2024-01-07T20:10:26
V0003376,U02427,post,P002715,-1,2024-01-07T21:07:34
V0004879,U00461,post,P003374,1,2024-01-07T23:53:11
V0002540,U01340,post,P000220,1,2024-01-08T01:07:26
V0002116,U00425,post,P000428,1,2024-01-08T01:09:49
V0011781,U01202,post,P002531,-1,2024-01-08T02:17:46
V0008864,U02099,post,P003548,1,2024-01-08T02:20:57
V0002217,U02337,post,P001741,1,2024-01-08T02:54:42
V0001122,U00821,post,P000374,1,2024-01-08T03:58:51
V0001366,U02215,post,P003105,1,2024-01-08T04:27:05
V0011545,U01815,post,P000373,1,2024-01-08T04:31:32
V0007634,U00731,post,P001802,1,2024-01-08T04:38:21
V0005678,U02286,post,P000702,1,2024-01-08T05:07:31
V0006757,U00376,post,P002699,1,2024-01-08T05:44:30
V0014131,U00477,post,P003588,1,2024-01-08T06:09:46
V0005396,U01050,post,P001527,1,2024-01-08T07:13:18
V0011439,U00281,comment,CM0004059,1,2024-01-08T07:13:24
V0014560,U00619,post,P003082,-1,2024-01-08T07:49:03
V0001970,U00368,post,P003887,-1,2024-01-08T08:02:19
V0002322,U02493,post,P000548,1,2024-01-08T09:56:24
V0012742,U02816,post,P002406,1,2024-01-08T11:52:26
V0002266,U02340,comment,CM0003082,-1,2024-01-08T12:46:27
V0008621,U01945,post,P001448,1,2024-01-08T13:05:29
V0003840,U01591,post,P001700,1,2024-01-08T13:10:51
V0003362,U00147,post,P002157,1,2024-01-08T13:11:14
V0007700,U02356,post,P000227,1,2024-01-08T14:03:13
V0012268,U00061,post,P001481,1,2024-01-08T17:58:08
V0011704,U02992,post,P000515,1,2024-01-08T19:25:17
V0004237,U01565,post,P003507,1,2024-01-08T19:26:30
V0013091,U00111,post,P003647,1,2024-01-08T21:04:20
V0010674,U00126,post,P001602,1,2024-01-08T23:01:12
V0009558,U01038,post,P002793,1,2024-01-08T23:54:39
V0004415,U02163,comment,CM0004772,1,2024-01-09T00:51:54
V0007991,U00403,post,P000330,1,2024-01-09T00:53:35
V0008548,U02756,post,P003511,1,2024-01-09T01:03:47
V0003194,U02271,post,P002449,1,2024-01-09T01:23:10
V0010736,U02786,post,P001846,1,2024-01-09T02:59:41
V0006666,U02346,post,P003040,1,2024-01-09T03:37:57
